date,spot_px,fut_px,spot_pos,fut_pos,spot_pnl,fut_pnl,net_pnl,nav
2021-05-31T00:00:00+00:00,37253.81,37411.34,18.173362000000004,10000,29305.27,-46097.84,-16792.56,1361660.15
2021-06-01T00:00:00+00:00,36693.09,36772.4,18.173362000000004,10000,-10190.17,17413.09,7222.92,1368883.07
2021-06-02T00:00:00+00:00,37568.68,37700.18,18.173362000000004,10000,15912.41,-24695.57,-8783.16,1360099.91
2021-06-03T00:00:00+00:00,39246.79,39366.2,18.173362000000004,10000,30496.9,-42449.84,-11952.94,1348146.97
2021-06-04T00:00:00+00:00,36829.0,36951.19,18.173362000000004,10000,-43939.37,65573.6,21634.22,1369781.19
2021-06-05T00:00:00+00:00,35513.2,35563.49,18.173362000000004,10000,-23912.51,39075.61,15163.1,1384944.3
2021-06-06T00:00:00+00:00,35796.31,35855.31,18.173362000000004,10000,5145.06,-8152.24,-3007.18,1381937.12
2021-06-07T00:00:00+00:00,33552.79,33578.64,18.173362000000004,10000,-40772.3,67853.37,27081.07,1409018.19
2021-06-08T00:00:00+00:00,33380.81,33375.04,18.173362000000004,10000,-3125.45,6099.31,2973.86,1411992.05
2021-06-09T00:00:00+00:00,37388.05,37444.75,18.173362000000004,10000,72825.02,-108850.56,-36025.53,1375966.52
2021-06-10T00:00:00+00:00,36675.72,36741.75,18.173362000000004,10000,-12945.43,19167.99,6222.56,1382189.08
2021-06-11T00:00:00+00:00,37331.979999999996,37398.8,18.173362000000004,10000,11926.45,-17600.19,-5673.74,1376515.34
2021-06-12T00:00:00+00:00,35546.11,35546.2,18.173362000000004,10000,-32455.26,52118.22,19662.96,1396178.3
2021-06-13T00:00:00+00:00,39020.57,39114.43,18.173362000000004,10000,63142.62,-91444.85,-28302.23,1367876.07
2021-06-14T00:00:00+00:00,40516.29,40567.74,18.173362000000004,10000,27182.26,-35869.77,-8687.51,1359188.56
2021-06-15T00:00:00+00:00,40144.04,40180.4,18.173362000000004,10000,-6765.03,9648.75,2883.72,1362072.29
2021-06-16T00:00:00+00:00,38349.009999999995,38356.7,18.173362000000004,10000,-32621.73,47555.33,14933.6,1377005.89
2021-06-17T00:00:00+00:00,38092.97,38046.71,18.173362000000004,10000,-4653.11,8137.72,3484.61,1380490.5
2021-06-18T00:00:00+00:00,35819.84,35707.85,18.173362000000004,10000,-41310.41,65295.1,23984.68,1404475.19
2021-06-19T00:00:00+00:00,35483.72,35418.48,18.173362000000004,10000,-6108.43,8155.01,2046.58,1406521.77
2021-06-20T00:00:00+00:00,35600.16,35541.4,18.173362000000004,10000,2116.11,-3452.79,-1336.69,1405185.08
2021-06-21T00:00:00+00:00,31608.93,31536.36,18.173362000000004,10000,-72534.07,126705.97,54171.9,1459356.98
2021-06-22T00:00:00+00:00,32509.56,32477.32,18.173362000000004,10000,16367.48,-28944.1,-12576.63,1446780.35
2021-06-23T00:00:00+00:00,33678.07,33623.7,18.173362000000004,10000,21235.76,-34039.36,-12803.61,1433976.74
2021-06-24T00:00:00+00:00,34663.09,34689.52,18.173362000000004,10000,17901.13,-30747.98,-12846.86,1421129.89
