funding_time_ms,funding_time,funding_rate
1620086400007,2021-05-04T00:00:00.007000+00:00,0.0001
1620115200002,2021-05-04T08:00:00.002000+00:00,0.0001
1620144000001,2021-05-04T16:00:00.001000+00:00,0.0001
1620172800000,2021-05-05T00:00:00+00:00,0.0001
1620201600001,2021-05-05T08:00:00.001000+00:00,0.0002577
1620230400000,2021-05-05T16:00:00+00:00,0.0001
1620259200001,2021-05-06T00:00:00.001000+00:00,0.00053284
1620288000000,2021-05-06T08:00:00+00:00,0.00037256
1620316800000,2021-05-06T16:00:00+00:00,0.00059149
1620345600004,2021-05-07T00:00:00.004000+00:00,0.0001
1620374400002,2021-05-07T08:00:00.002000+00:00,0.0001
1620403200006,2021-05-07T16:00:00.006000+00:00,0.0001
1620432000001,2021-05-08T00:00:00.001000+00:00,0.00033721
1620460800003,2021-05-08T08:00:00.003000+00:00,0.00034899
1620489600000,2021-05-08T16:00:00+00:00,0.00030496
1620518400000,2021-05-09T00:00:00+00:00,0.00032196
1620547200000,2021-05-09T08:00:00+00:00,0.00040406
1620576000003,2021-05-09T16:00:00.003000+00:00,0.000172
1620604800000,2021-05-10T00:00:00+00:00,0.0001
1620633600000,2021-05-10T08:00:00+00:00,0.00057315
1620662400000,2021-05-10T16:00:00+00:00,0.0001
1620691200000,2021-05-11T00:00:00+00:00,0.0001
1620720000007,2021-05-11T08:00:00.007000+00:00,0.00013276
1620748800007,2021-05-11T16:00:00.007000+00:00,0.00014989
1620777600000,2021-05-12T00:00:00+00:00,0.0001
1620806400000,2021-05-12T08:00:00+00:00,0.00035012
1620835200012,2021-05-12T16:00:00.012000+00:00,0.0001
1620864000000,2021-05-13T00:00:00+00:00,0.0001
1620892800000,2021-05-13T08:00:00+00:00,-9.38e-05
1620921600002,2021-05-13T16:00:00.002000+00:00,0.0001
1620950400001,2021-05-14T00:00:00.001000+00:00,0.0001
1620979200009,2021-05-14T08:00:00.009000+00:00,0.0001
1621008000002,2021-05-14T16:00:00.002000+00:00,0.0001
1621036800006,2021-05-15T00:00:00.006000+00:00,0.0001
1621065600000,2021-05-15T08:00:00+00:00,0.0001
1621094400001,2021-05-15T16:00:00.001000+00:00,0.0001
1621123200002,2021-05-16T00:00:00.002000+00:00,0.0001
1621152000000,2021-05-16T08:00:00+00:00,0.00010859
1621180800000,2021-05-16T16:00:00+00:00,0.0001
1621209600010,2021-05-17T00:00:00.010000+00:00,0.0001
1621238400003,2021-05-17T08:00:00.003000+00:00,0.0001
1621267200006,2021-05-17T16:00:00.006000+00:00,0.0001
1621296000019,2021-05-18T00:00:00.019000+00:00,0.0001
1621324800022,2021-05-18T08:00:00.022000+00:00,0.0001
1621353600006,2021-05-18T16:00:00.006000+00:00,0.0001
1621382400001,2021-05-19T00:00:00.001000+00:00,0.0001
1621411200005,2021-05-19T08:00:00.005000+00:00,0.0001
1621440000008,2021-05-19T16:00:00.008000+00:00,-0.003
1621468800010,2021-05-20T00:00:00.010000+00:00,0.0001
1621497600000,2021-05-20T08:00:00+00:00,2.551e-05
1621526400002,2021-05-20T16:00:00.002000+00:00,-0.00061115
1621555200001,2021-05-21T00:00:00.001000+00:00,-0.00037217
1621584000010,2021-05-21T08:00:00.010000+00:00,-1.602e-05
1621612800001,2021-05-21T16:00:00.001000+00:00,-0.00043734
1621641600000,2021-05-22T00:00:00+00:00,-0.00012045
1621670400007,2021-05-22T08:00:00.007000+00:00,9.034e-05
1621699200000,2021-05-22T16:00:00+00:00,0.0001
1621728000004,2021-05-23T00:00:00.004000+00:00,-0.00010678
1621756800002,2021-05-23T08:00:00.002000+00:00,3.912e-05
1621785600004,2021-05-23T16:00:00.004000+00:00,7.38e-05
1621814400000,2021-05-24T00:00:00+00:00,-0.00023446
1621843200009,2021-05-24T08:00:00.009000+00:00,4.501e-05
1621872000005,2021-05-24T16:00:00.005000+00:00,0.0001
1621900800006,2021-05-25T00:00:00.006000+00:00,-2.723e-05
1621929600015,2021-05-25T08:00:00.015000+00:00,-6.209e-05
1621958400002,2021-05-25T16:00:00.002000+00:00,-3.034e-05
